support,itemsets,length
0.31932773109243695,algebre 1 : rappels de cours et exercices avec solutions,1
0.03361344537815126,algorithmique : cours et exercices corrigés,1
0.025210084033613446,algorithmique et structures de données statiques : cours et exercices avec solutions,1
0.03361344537815126,algèbre 1re année,1
0.025210084033613446,analyse 2 : rappels de cours et exercices avec solutions,1
0.03361344537815126,c-c++ la bible du programmeur : 1500 astuces pour toutes les situations,1
0.25210084033613445,cours d'algèbre et exercices corrigés,1
0.03361344537815126,de l'algèbre de boole aux circuits numériques : cours et applications,1
0.05042016806722689,de mes cahiers d’analyse…suites numeriques : cours detaille et exercices resolus,1
0.04201680672268908,eléments de la théorie des probabilités t.1,1
0.03361344537815126,exercices corrigés d'algèbre,1
0.025210084033613446,exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,1
0.03361344537815126,exercices en langage c++ : 178 exercices corrigés,1
0.21008403361344538,"fonctions de plusieurs variables relles : imites,continuite,differentiabilité et.... cours détaillé et exercices résolus",1
0.025210084033613446,introduction a l'architecture des ordinateurs,1
0.03361344537815126,mathematical logic,1
0.058823529411764705,mathématiques rappels et cours exercices résolus,1
0.1092436974789916,probabilites : rappels de cours et exercices corriges,1
0.025210084033613446,s.e.m. 300 par ses examens t.1 : analyse et algèbre de première année des universités et grandes écoles scientifiques,1
0.058823529411764705,tout sur r : ensemble des nombres reels structures algebrique et topologique,1
0.13445378151260504,"algebre 1 : rappels de cours et exercices avec solutions, cours d'algèbre et exercices corrigés",2
0.025210084033613446,"algebre 1 : rappels de cours et exercices avec solutions, exercices en langage c++ : 178 exercices corrigés",2
0.025210084033613446,"algebre 1 : rappels de cours et exercices avec solutions, mathématiques rappels et cours exercices résolus",2
0.04201680672268908,"algebre 1 : rappels de cours et exercices avec solutions, tout sur r : ensemble des nombres reels structures algebrique et topologique",2
0.025210084033613446,"eléments de la théorie des probabilités t.1, fonctions de plusieurs variables relles : imites,continuite,differentiabilité et.... cours détaillé et exercices résolus",2
0.09243697478991597,"probabilites : rappels de cours et exercices corriges, fonctions de plusieurs variables relles : imites,continuite,differentiabilité et.... cours détaillé et exercices résolus",2
